AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.12958952459005196,0.5021442,0.21836631151699645,0.12878515858767206,0.7173333333333334,0.7279,1076,7279,2721,424,0.0,0.0,500,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),123,,500,0.025917904918010395
0.1296554960393866,0.5042714666666667,0.22403532347859473,0.13085893698138595,0.778,0.7751,1167,7751,2249,333,0.0,0.0,0,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),456,,0,12.965549603938658
0.1296554960393866,0.5042714666666667,0.22403532347859473,0.13085893698138595,0.778,0.7751,1167,7751,2249,333,0.0,0.0,500,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),456,,500,0.02593109920787732
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,sHST-River,42,,0,56.52173913043478
0.15516410561356317,0.6028743,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,medium,sHST-River,42,,500,0.031032821122712634
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,sHST-River,123,,0,56.52173913043478
0.1546348502742469,0.5990484,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,medium,sHST-River,123,,500,0.030926970054849377
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,sHST-River,456,,0,56.52173913043478
0.1558379727362794,0.601752,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,medium,sHST-River,456,,500,0.03116759454725588
0.12666941027018835,0.4920951333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,MemStream,42,,0,12.666941027018835
0.10097153250954605,0.40594879999999994,0.17548676984523215,0.10795454545454546,0.4686666666666667,0.5809,703,5809,4191,797,0.0,0.0,500,0.13043478260869565,2,3,medium,MemStream,42,,500,0.020194306501909207
0.12666941027018835,0.4920951333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,MemStream,123,,0,12.666941027018835
0.10061555802498429,0.4036224,0.17532467532467533,0.10786724031960664,0.468,0.5806,702,5806,4194,798,0.0,0.0,500,0.13043478260869565,2,3,medium,MemStream,123,,500,0.020123111604996857
0.12666941027018835,0.4920951333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,medium,MemStream,456,,0,12.666941027018835
0.09991807182051755,0.39993433333333334,0.17509776712501576,0.10798195114361288,0.46266666666666667,0.5733,694,5733,4267,806,0.0,0.0,500,0.13043478260869565,2,3,medium,MemStream,456,,500,0.01998361436410351
0.12898973621138896,0.5065611333333333,0.22957847106453919,0.13030548796972155,0.964,0.9651,1446,9651,349,54,0.0,0.0,0,0.13043478260869565,2,3,medium,CA-DIF-EIA (streaming),42,,0,12.898973621138895
