fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
2,hard,CA-DIF-EIA,123,0.6199487875134136,0.6836810396393664,0.06373225212595279
2,hard,CA-DIF-EIA,456,0.6285558551277604,0.6820354135423763,0.053479558414615935
2,hard,CA-DIF-EIA,789,0.6105205066030928,0.7006325349893249,0.09011202838623211
2,hard,CA-DIF-EIA,1024,0.6222323897975708,0.6717622969220844,0.04952990712451366
2,medium,CA-DIF-EIA,42,0.7761300604385053,0.8076396240427649,0.031509563604259605
2,medium,CA-DIF-EIA,123,0.7683241362592064,0.8174702911706441,0.0491461549114377
2,medium,CA-DIF-EIA,456,0.7623076993833432,0.8358366333490432,0.07352893396570004
2,medium,CA-DIF-EIA,789,0.7700063279434182,0.8424092300839622,0.07240290214054401
2,medium,CA-DIF-EIA,1024,0.7719591747800364,0.8266088458699795,0.05464967108994312
3,easy,CA-DIF-EIA,42,0.8898714705307451,0.9357483975377826,0.045876927007037493
3,easy,CA-DIF-EIA,123,0.9033005066775481,0.9183557287377875,0.015055222060239348
3,easy,CA-DIF-EIA,456,0.9068331952146741,0.9367226008585786,0.02988940564390452
3,easy,CA-DIF-EIA,789,0.8918547066823035,0.9398235590938462,0.047968852411542695
3,easy,CA-DIF-EIA,1024,0.8950833745786768,0.939290721619969,0.044207347041292144
3,hard,CA-DIF-EIA,42,0.6396439559268975,0.6821988841182642,0.04255492819136675
3,hard,CA-DIF-EIA,123,0.6179770370484814,0.6826276485066429,0.06465061145816153
3,hard,CA-DIF-EIA,456,0.6355774155496072,0.6980513537113907,0.06247393816178348
3,hard,CA-DIF-EIA,789,0.6033301585446231,0.694207955319111,0.09087779677448782
3,hard,CA-DIF-EIA,1024,0.6260794370479761,0.6715993770507717,0.04551994000279558
3,medium,CA-DIF-EIA,42,0.7624198800489954,0.8250359939450573,0.06261611389606192
3,medium,CA-DIF-EIA,123,0.7585118194016383,0.8128206142917367,0.05430879489009843
3,medium,CA-DIF-EIA,456,0.7727579294580553,0.8419089866709597,0.06915105721290438
3,medium,CA-DIF-EIA,789,0.7442742404853115,0.83584403227203,0.09156979178671842
3,medium,CA-DIF-EIA,1024,0.7734361395996723,0.835055872213017,0.061619732613344746
4,easy,CA-DIF-EIA,42,0.885434539567675,0.9152197670549118,0.029785227487236776
4,easy,CA-DIF-EIA,123,0.8878694070850699,0.9123462635850037,0.024476856499933808
4,easy,CA-DIF-EIA,456,0.9055945304475861,0.9244867679131906,0.018892237465604533
4,easy,CA-DIF-EIA,789,0.8883838515280773,0.9403527634517781,0.05196891192370079
4,easy,CA-DIF-EIA,1024,0.9048814084255729,0.9399229150855473,0.03504150665997441
4,hard,CA-DIF-EIA,42,0.630261913587236,0.6773210168769896,0.0470591032897536
4,hard,CA-DIF-EIA,123,0.6116379384794578,0.6794026093442057,0.06776467086474791
4,hard,CA-DIF-EIA,456,0.6319755760836727,0.6838940665077643,0.05191849042409158
4,hard,CA-DIF-EIA,789,0.6249597616481779,0.6985633613805537,0.07360359973237585
4,hard,CA-DIF-EIA,1024,0.6354513114618502,0.6880200973386817,0.05256878587683156
4,medium,CA-DIF-EIA,42,0.7593501500436346,0.8140040329575932,0.05465388291395856
4,medium,CA-DIF-EIA,123,0.7624168363133875,0.8135302797318087,0.05111344341842117
4,medium,CA-DIF-EIA,456,0.7777145622451062,0.824732436267098,0.04701787402199187
4,medium,CA-DIF-EIA,789,0.7631823718424119,0.8405072424989395,0.0773248706565276
4,medium,CA-DIF-EIA,1024,0.7788955081359036,0.84527125751298,0.06637574937707647
5,easy,CA-DIF-EIA,42,0.8846642675351506,0.9035735082797892,0.018909240744638622
5,easy,CA-DIF-EIA,123,0.8773915192411803,0.9237200595333581,0.04632854029217781
5,easy,CA-DIF-EIA,456,0.8995742412095186,0.914158872400993,0.014584631191474462
5,easy,CA-DIF-EIA,789,0.8703944807439099,0.9375955390412525,0.06720105829734258
5,easy,CA-DIF-EIA,1024,0.8869213583375479,0.928099123812238,0.0411777654746901
